itinerary_id,cabin_class,one_way_price_candollar,flight_number,origin_airport,destination_airport,departure_date_time,arrival_date_time,stop_count,marketing_airline,operating_airline,is_self_transfer,score,duration_in_hours
18467-2504010745--31679-1-10968-2504011249,economy,477,6340,YYZ,ATL,2025-04-01 07:45:00,2025-04-01 10:17:00,1,Westjet,Delta Air Lines,True,0.544887,2.53
18467-2504010745--31679-1-10968-2504011249,economy,477,6482,ATL,DFW,2025-04-01 11:20:00,2025-04-01 12:49:00,1,Westjet,Delta Air Lines,True,0.544887,2.48
"18390-2504010700--31954,-31825-2-10968-2504011735",economy,253,2205,YTZ,YOW,2025-04-01 07:00:00,2025-04-01 07:59:00,2,Porter Airlines,Porter Airlines Inc,True,0.462699,0.98
18467-2504010615--32385-1-10910-2504011111,premium_economy,581,2662,YYZ,ATL,2025-04-01 06:15:00,2025-04-01 08:49:00,1,Delta Air Lines,Delta Air Lines,True,0.576769,2.57
18467-2504010745--32385-1-10968-2504011249,premium_economy,581,2988,YYZ,ATL,2025-04-01 07:45:00,2025-04-01 10:17:00,1,Delta Air Lines,Delta Air Lines,True,0.5653,2.53
18467-2504010745--32385-1-10968-2504011249,premium_economy,581,414,ATL,DFW,2025-04-01 11:20:00,2025-04-01 12:49:00,1,Delta Air Lines,Delta Air Lines,True,0.5653,2.48
18467-2504011220--32385-1-10910-2504011753,premium_economy,581,2835,YYZ,ATL,2025-04-01 12:20:00,2025-04-01 14:40:00,1,Delta Air Lines,Delta Air Lines,True,0.538065,2.33
18467-2504011324--32573-0-10968-2504011614,business,649,3993,YYZ,DFW,2025-04-01 13:24:00,2025-04-01 16:14:00,0,American Airlines,Envoy Air,True,0.894173,3.83
18467-2504011715--32573-0-10968-2504012010,business,527,1111,YYZ,DFW,2025-04-01 17:15:00,2025-04-01 20:10:00,0,American Airlines,American Airlines,True,0.999,3.92
18467-2504010645--32573-0-10968-2504010940,business,649,1169,YYZ,DFW,2025-04-01 06:45:00,2025-04-01 09:40:00,0,American Airlines,American Airlines,True,0.795642,3.92
18467-2504011940--31722-0-10968-2504012214,first,827,8019,YYZ,DFW,2025-04-01 19:40:00,2025-04-01 22:14:00,0,United Airlines,Air Canada,True,0.999,3.57
18467-2504011400--31722-0-10968-2504011634,first,1049,8130,YYZ,DFW,2025-04-01 14:00:00,2025-04-01 16:34:00,0,United Airlines,Air Canada,True,0.715434,3.57
18467-2504011314--32573-1-10968-2504011741,first,670,4731,YYZ,ORD,2025-04-01 13:14:00,2025-04-01 14:09:00,1,American Airlines,American Eagle,True,0.566809,1.92
18467-2504011314--32573-1-10968-2504011741,first,670,2257,ORD,DFW,2025-04-01 15:02:00,2025-04-01 17:41:00,1,American Airlines,American Airlines,True,0.566809,2.65
18467-2504010615--32573-1-10968-2504011047,first,549,3524,YYZ,ORD,2025-04-01 06:15:00,2025-04-01 07:30:00,1,American Airlines,Envoy Air,True,0.78815,2.25
18467-2504010615--32573-1-10968-2504011047,first,549,481,ORD,DFW,2025-04-01 08:05:00,2025-04-01 10:47:00,1,American Airlines,American Airlines,True,0.78815,2.7
18467-2504011644--32573-1-10968-2504012133,first,549,3608,YYZ,ORD,2025-04-01 16:44:00,2025-04-01 17:44:00,1,American Airlines,Envoy Air,True,0.92173,2.0
18467-2504011644--32573-1-10968-2504012133,first,549,550,ORD,DFW,2025-04-01 18:45:00,2025-04-01 21:33:00,1,American Airlines,American Airlines,True,0.92173,2.8
"18390-2504020700--31954,-31825-2-10968-2504021735",economy,253,2205,YTZ,YOW,2025-04-02 07:00:00,2025-04-02 07:59:00,2,Porter Airlines,Porter Airlines Inc,True,0.606563,0.98
"18390-2504021155--31954,-31825-2-10968-2504022254",economy,263,611,ATL,DFW,2025-04-02 21:15:00,2025-04-02 22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.462181,2.65
"18390-2504020900--31954,-31825-2-10968-2504022254",economy,263,611,ATL,DFW,2025-04-02 21:15:00,2025-04-02 22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.385329,2.65
18467-2504020615--32385-1-10910-2504021111,premium_economy,581,2662,YYZ,ATL,2025-04-02 06:15:00,2025-04-02 08:49:00,1,Delta Air Lines,Delta Air Lines,True,0.539112,2.57
18467-2504020745--32385-1-10968-2504021249,premium_economy,581,2988,YYZ,ATL,2025-04-02 07:45:00,2025-04-02 10:17:00,1,Delta Air Lines,Delta Air Lines,True,0.524352,2.53
18467-2504020745--32385-1-10968-2504021249,premium_economy,581,414,ATL,DFW,2025-04-02 11:20:00,2025-04-02 12:49:00,1,Delta Air Lines,Delta Air Lines,True,0.524352,2.48
18467-2504020745--32385-1-10968-2504021440,premium_economy,560,2988,YYZ,ATL,2025-04-02 07:45:00,2025-04-02 10:17:00,1,Delta Air Lines,Delta Air Lines,True,0.482179,2.53
18467-2504020745--32385-1-10968-2504021440,premium_economy,560,921,ATL,DFW,2025-04-02 13:17:00,2025-04-02 14:40:00,1,Delta Air Lines,Delta Air Lines,True,0.482179,2.38
18467-2504020615--32385-2-10968-2504021440,premium_economy,560,921,ATL,DFW,2025-04-02 13:17:00,2025-04-02 14:40:00,2,Delta Air Lines,Delta Air Lines,True,0.492572,2.38
18467-2504021324--32573-0-10968-2504021614,business,527,3993,YYZ,DFW,2025-04-02 13:24:00,2025-04-02 16:14:00,0,American Airlines,Envoy Air,True,0.999,3.83
18467-2504021715--32573-0-10968-2504022010,business,527,1111,YYZ,DFW,2025-04-02 17:15:00,2025-04-02 20:10:00,0,American Airlines,American Airlines,True,0.933064,3.92
18467-2504020645--32573-0-10968-2504020940,business,649,1169,YYZ,DFW,2025-04-02 06:45:00,2025-04-02 09:40:00,0,American Airlines,American Airlines,True,0.795642,3.92
18467-2504021940--31722-0-10968-2504022214,first,596,8019,YYZ,DFW,2025-04-02 19:40:00,2025-04-02 22:14:00,0,United Airlines,Air Canada,True,0.999,3.57
18467-2504021400--31722-0-10968-2504021634,first,827,8130,YYZ,DFW,2025-04-02 14:00:00,2025-04-02 16:34:00,0,United Airlines,Air Canada,True,0.730022,3.57
18467-2504020900--31722-1-10968-2504021332,first,618,1538,YYZ,ORD,2025-04-02 09:00:00,2025-04-02 10:01:00,1,United Airlines,United Airlines,True,0.441401,2.02
18467-2504020900--31722-1-10968-2504021332,first,618,307,ORD,DFW,2025-04-02 10:45:00,2025-04-02 13:32:00,1,United Airlines,United Airlines,True,0.441401,2.78
18467-2504020615--32573-1-10968-2504021300,first,549,3524,YYZ,ORD,2025-04-02 06:15:00,2025-04-02 07:30:00,1,American Airlines,Envoy Air,True,0.452287,2.25
18467-2504020615--32573-1-10968-2504021300,first,549,1109,ORD,DFW,2025-04-02 10:15:00,2025-04-02 13:00:00,1,American Airlines,American Airlines,True,0.452287,2.75
"18390-2504030700--31954,-31825-2-10968-2504031735",economy,284,2205,YTZ,YOW,2025-04-03 07:00:00,2025-04-03 07:59:00,2,Porter Airlines,Porter Airlines Inc,True,0.609193,0.98
18467-2504030745--32385-1-10968-2504031243,premium_economy,581,2988,YYZ,ATL,2025-04-03 07:45:00,2025-04-03 10:08:00,1,Delta Air Lines,Delta Air Lines,True,0.61953,2.38
18467-2504030745--32385-1-10968-2504031243,premium_economy,581,414,ATL,DFW,2025-04-03 11:22:00,2025-04-03 12:43:00,1,Delta Air Lines,Delta Air Lines,True,0.61953,2.35
18467-2504030615--32385-1-10910-2504031126,premium_economy,581,2662,YYZ,ATL,2025-04-03 06:15:00,2025-04-03 08:44:00,1,Delta Air Lines,Delta Air Lines,True,0.596392,2.48
18467-2504031815--32385-1-10968-2504032357,premium_economy,581,2714,YYZ,ATL,2025-04-03 18:15:00,2025-04-03 20:39:00,1,Delta Air Lines,Delta Air Lines,True,0.550844,2.4
18467-2504031815--32385-1-10968-2504032357,premium_economy,581,818,ATL,DFW,2025-04-03 22:34:00,2025-04-03 23:57:00,1,Delta Air Lines,Delta Air Lines,True,0.550844,2.38
18467-2504031324--32573-0-10968-2504031614,business,593,3993,YYZ,DFW,2025-04-03 13:24:00,2025-04-03 16:14:00,0,American Airlines,Envoy Air,True,0.999,3.83
18467-2504030645--32573-0-10968-2504030940,business,649,1169,YYZ,DFW,2025-04-03 06:45:00,2025-04-03 09:40:00,0,American Airlines,American Airlines,True,0.800869,3.92
18467-2504031715--32573-0-10968-2504032010,business,788,1111,YYZ,DFW,2025-04-03 17:15:00,2025-04-03 20:10:00,0,American Airlines,American Airlines,True,0.736555,3.92
18467-2504031400--31722-0-10968-2504031634,first,596,8130,YYZ,DFW,2025-04-03 14:00:00,2025-04-03 16:34:00,0,United Airlines,Air Canada,True,0.999,3.57
18467-2504031940--31722-0-10968-2504032214,first,596,8019,YYZ,DFW,2025-04-03 19:40:00,2025-04-03 22:14:00,0,United Airlines,Air Canada,True,0.781093,3.57
18467-2504030615--32573-1-10968-2504031047,first,549,3524,YYZ,ORD,2025-04-03 06:15:00,2025-04-03 07:30:00,1,American Airlines,Envoy Air,True,0.562752,2.25
